Configuration,Search Method,Solution State,Solution Depth,Nodes Expanded,Max Fringe Size,Branching Factor
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",breadthFirstSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",uniformCostSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,         40935,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             2,            10,              15,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             2,            10,              20,           3.162
"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",depthFirstSearch,Solved ,            24,        262843,              36,           1.682
"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",breadthFirstSearch,Solved ,             6,           139,             158,           2.276
"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",uniformCostSearch,Solved ,             6,           139,             230,           2.276
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",depthFirstSearch,Solved ,             2,             3,               4,           1.732
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",breadthFirstSearch,Solved ,             2,            10,              14,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",uniformCostSearch,Solved ,             2,            10,              19,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 12, 13, 0, 10, 15]",depthFirstSearch,Solved ,            24,         16073,              33,           1.497
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 12, 13, 0, 10, 15]",breadthFirstSearch,Solved ,             6,           235,             257,           2.484
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 12, 13, 0, 10, 15]",uniformCostSearch,Solved ,             6,           235,             382,           2.484
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",depthFirstSearch,Solved ,            24,        465544,              39,           1.723
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",breadthFirstSearch,Solved ,             6,           258,             300,           2.523
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",uniformCostSearch,Solved ,             6,           258,             441,           2.523
"[1, 2, 3, 4, 5, 10, 6, 7, 0, 9, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,            24,         63929,              38,           1.586
"[1, 2, 3, 4, 5, 10, 6, 7, 0, 9, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             6,           216,             234,           2.449
"[1, 2, 3, 4, 5, 10, 6, 7, 0, 9, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             6,           216,             348,           2.449
"[1, 2, 0, 4, 5, 6, 3, 8, 9, 10, 7, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,        898126,              37,            1.77
"[1, 2, 0, 4, 5, 6, 3, 8, 9, 10, 7, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             4,            26,              33,           2.258
"[1, 2, 0, 4, 5, 6, 3, 8, 9, 10, 7, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             4,            26,              46,           2.258
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",depthFirstSearch,Solved ,             2,             3,               4,           1.732
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",breadthFirstSearch,Solved ,             2,            10,              14,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",uniformCostSearch,Solved ,             2,            10,              19,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,             4,             5,               8,           1.495
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             4,            56,              66,           2.736
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             4,            56,              97,           2.736
"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,             4,        199265,              39,          21.128
